,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,label
132,0,management,single,tertiary,no,0,yes,no,cellular,1,may,1,0,1,1,failure,no
133,1,blue-collar,married,primary,no,1,no,no,cellular,1,aug,1,1,1,1,failure,no
134,1,blue-collar,married,primary,no,0,no,no,cellular,0,jun,0,0,1,1,failure,no
135,0,self-employed,single,tertiary,no,1,no,no,cellular,0,jun,1,1,1,1,failure,no
136,0,management,married,tertiary,no,1,yes,no,cellular,0,nov,1,0,1,1,failure,no
137,0,services,single,secondary,no,0,yes,no,cellular,0,jun,1,1,1,1,failure,no
138,0,services,single,secondary,no,0,yes,yes,cellular,0,may,1,0,1,1,failure,no
139,0,management,single,tertiary,no,0,no,yes,cellular,0,aug,1,1,1,1,failure,no
140,1,management,married,tertiary,no,1,no,no,cellular,0,sep,0,0,1,1,failure,no
141,1,services,married,secondary,no,1,yes,no,cellular,0,may,0,1,1,1,failure,no
142,1,management,married,tertiary,no,0,no,no,cellular,0,jul,0,0,1,1,failure,no
143,1,self-employed,married,secondary,no,0,yes,no,cellular,0,jun,0,0,1,1,failure,no
144,0,housemaid,married,tertiary,no,1,no,no,cellular,1,jan,0,1,1,1,failure,no
145,0,blue-collar,married,secondary,no,1,yes,no,cellular,0,may,1,1,1,1,failure,no
146,1,admin.,married,secondary,no,0,no,no,cellular,0,jun,0,0,1,1,failure,no
147,0,admin.,single,secondary,no,1,no,no,cellular,1,aug,0,0,1,1,failure,no
148,1,self-employed,married,secondary,no,1,no,no,cellular,1,nov,1,0,1,1,failure,no
149,1,blue-collar,single,secondary,no,0,yes,no,cellular,1,jun,0,0,1,1,failure,no
150,0,entrepreneur,married,primary,no,0,no,no,cellular,1,jul,1,1,1,1,failure,no
151,1,blue-collar,married,secondary,no,1,yes,no,telephone,1,nov,0,0,1,1,failure,no
152,1,technician,single,secondary,no,0,yes,no,cellular,0,may,1,1,1,1,failure,no
153,1,admin.,single,secondary,no,0,yes,no,cellular,1,jul,1,1,1,1,failure,no
154,0,management,single,tertiary,no,1,no,no,cellular,1,sep,1,0,1,1,failure,yes
155,0,self-employed,single,tertiary,no,1,no,no,cellular,1,may,1,1,1,1,failure,no
156,1,blue-collar,married,primary,no,1,yes,yes,cellular,1,may,0,1,1,1,failure,no
157,0,blue-collar,married,secondary,no,0,yes,no,cellular,1,nov,0,0,1,1,failure,no
158,1,blue-collar,married,primary,no,1,yes,yes,cellular,0,jul,1,0,1,1,failure,no
159,0,self-employed,married,tertiary,no,0,yes,no,cellular,0,jul,0,1,1,1,failure,no
160,0,management,married,tertiary,no,1,yes,no,cellular,1,aug,1,1,1,1,failure,no
161,1,housemaid,married,primary,no,0,no,no,cellular,0,aug,1,1,1,1,failure,no
162,1,management,single,tertiary,no,0,no,no,telephone,1,aug,1,1,1,1,failure,no
163,1,self-employed,married,primary,no,0,no,yes,cellular,1,jul,1,1,1,1,failure,yes
164,1,blue-collar,married,secondary,no,0,yes,no,cellular,0,jun,0,1,1,1,failure,no
165,1,blue-collar,married,primary,no,0,yes,no,cellular,0,jun,1,1,1,1,failure,no
166,0,technician,single,secondary,no,0,no,no,cellular,1,aug,0,1,1,1,failure,no
167,1,services,divorced,secondary,no,1,yes,no,cellular,0,feb,1,0,1,1,failure,yes
168,0,management,divorced,tertiary,no,0,no,no,cellular,0,aug,1,1,1,1,failure,yes
169,0,blue-collar,single,primary,no,0,yes,no,cellular,0,may,0,1,1,1,failure,no
170,1,blue-collar,married,secondary,no,0,no,no,cellular,0,jul,1,0,1,1,failure,no
171,0,technician,single,tertiary,yes,0,no,no,cellular,1,aug,1,1,1,1,failure,no
172,1,blue-collar,married,secondary,yes,0,yes,no,cellular,0,may,0,1,1,1,failure,no
173,0,technician,married,secondary,no,1,yes,no,cellular,1,jul,1,1,1,1,failure,no
174,1,admin.,divorced,secondary,no,1,yes,no,cellular,1,may,0,1,1,1,failure,no
175,1,blue-collar,divorced,secondary,no,0,yes,no,cellular,0,may,1,1,1,1,failure,no
176,1,technician,divorced,secondary,no,1,no,no,cellular,1,nov,0,1,1,1,failure,no
177,0,self-employed,married,tertiary,no,1,no,no,cellular,1,nov,0,1,1,1,failure,no
178,0,student,single,secondary,no,1,yes,no,telephone,1,may,0,1,1,1,other,no
179,0,management,married,tertiary,no,0,yes,no,cellular,1,may,0,0,1,1,failure,no
180,1,admin.,married,secondary,no,1,no,no,cellular,1,aug,0,1,1,1,failure,no
181,1,management,single,tertiary,no,0,no,no,cellular,1,jul,0,1,1,1,failure,no
182,1,housemaid,divorced,secondary,no,1,yes,no,cellular,1,jul,1,1,1,1,failure,no
183,1,management,married,tertiary,no,1,yes,no,cellular,0,jun,1,0,1,1,failure,no
184,1,technician,divorced,secondary,no,0,yes,no,cellular,0,aug,0,1,1,1,failure,no
185,1,technician,married,secondary,no,0,yes,no,cellular,1,aug,1,1,1,1,failure,no
186,0,technician,single,tertiary,no,0,no,no,cellular,1,aug,1,0,1,1,failure,no
187,1,technician,married,primary,no,0,no,no,cellular,0,jun,0,0,1,1,failure,no
188,1,blue-collar,married,secondary,no,0,yes,yes,cellular,0,may,0,0,1,1,failure,no
189,1,management,married,tertiary,no,1,yes,yes,cellular,1,jun,1,1,1,1,failure,yes
190,1,unemployed,married,secondary,no,1,no,yes,cellular,1,nov,1,1,1,1,failure,no
191,1,blue-collar,married,primary,no,0,no,no,cellular,1,jul,0,1,1,1,failure,no
192,0,technician,single,secondary,no,0,no,no,cellular,0,may,1,0,1,1,failure,no
193,1,entrepreneur,married,secondary,no,1,yes,no,telephone,1,jul,0,0,1,1,failure,no
194,0,blue-collar,single,secondary,no,1,yes,no,cellular,1,may,1,1,1,1,failure,yes
195,1,management,married,tertiary,no,0,yes,no,cellular,0,aug,1,1,1,1,failure,no
196,0,admin.,single,secondary,no,1,yes,no,cellular,1,may,1,0,1,1,failure,no
197,1,blue-collar,married,secondary,no,1,yes,no,cellular,1,jun,1,1,1,1,failure,no
198,0,management,single,tertiary,no,0,yes,no,cellular,1,jul,0,0,1,1,failure,no
199,1,retired,married,primary,no,0,no,no,cellular,1,jan,1,0,1,1,failure,no
200,1,services,single,secondary,no,0,yes,no,cellular,0,may,1,0,1,1,failure,no
201,0,blue-collar,single,secondary,no,0,yes,yes,cellular,1,jul,0,1,1,1,failure,no
202,0,self-employed,married,tertiary,no,0,no,yes,cellular,1,jul,0,1,1,1,failure,no
203,1,blue-collar,married,primary,no,1,no,no,cellular,1,jun,1,0,1,1,failure,no
204,1,technician,married,secondary,no,0,no,no,cellular,1,apr,1,0,1,1,other,yes
205,1,unemployed,married,tertiary,no,0,no,no,cellular,0,aug,1,0,1,1,failure,no
206,1,admin.,married,secondary,no,0,yes,no,cellular,1,may,0,1,1,1,failure,no
207,1,blue-collar,divorced,primary,no,0,yes,yes,cellular,0,may,1,0,1,1,failure,yes
208,0,technician,married,secondary,no,1,yes,yes,cellular,0,may,1,1,1,1,failure,no
209,1,technician,married,secondary,no,1,no,no,cellular,1,aug,0,1,1,1,failure,no
210,0,admin.,married,secondary,no,0,yes,no,cellular,0,jun,0,1,1,1,failure,no
211,1,blue-collar,married,secondary,no,1,no,no,cellular,1,jun,0,0,1,1,failure,no
212,1,services,married,secondary,no,0,no,yes,cellular,0,jul,1,0,1,1,failure,no
213,0,admin.,single,secondary,no,1,yes,no,cellular,0,jun,1,1,1,1,failure,no
214,0,housemaid,married,primary,no,1,no,no,cellular,1,aug,1,1,1,1,failure,no
215,1,admin.,married,secondary,no,1,no,no,cellular,1,jun,1,0,1,1,failure,no
216,0,management,single,tertiary,no,1,no,no,cellular,0,aug,1,0,1,1,failure,no
217,0,admin.,single,tertiary,no,1,yes,no,cellular,0,nov,0,0,1,1,failure,no
218,0,technician,single,tertiary,no,0,no,yes,cellular,1,jul,1,0,1,1,failure,yes
219,0,management,married,tertiary,no,1,no,no,cellular,1,jun,1,0,1,1,failure,yes
220,1,technician,single,tertiary,no,1,no,no,cellular,1,nov,1,1,1,1,failure,no
221,0,blue-collar,single,primary,no,1,yes,no,cellular,1,apr,0,1,1,1,failure,no
222,0,technician,single,tertiary,no,1,no,no,cellular,1,aug,1,1,1,1,failure,yes
223,0,management,divorced,tertiary,no,1,yes,yes,cellular,1,nov,1,1,1,1,failure,no
224,0,management,single,tertiary,no,1,no,yes,cellular,1,jul,1,0,1,1,failure,no
225,1,technician,divorced,tertiary,no,0,yes,yes,cellular,0,feb,0,0,1,1,failure,no
226,1,blue-collar,married,primary,no,0,no,no,cellular,1,aug,0,1,1,1,failure,no
227,0,unemployed,married,secondary,no,1,yes,no,cellular,1,nov,0,1,1,1,failure,no
228,0,services,married,secondary,no,0,yes,no,cellular,1,jul,0,1,1,1,failure,no
229,1,blue-collar,married,secondary,no,1,no,no,cellular,0,nov,0,1,1,1,failure,no
230,0,admin.,married,secondary,no,0,yes,no,cellular,1,nov,0,0,1,1,failure,no
231,1,technician,divorced,secondary,no,0,no,no,cellular,1,aug,0,1,1,1,failure,no
232,1,technician,divorced,secondary,no,1,no,no,cellular,1,aug,0,1,1,1,failure,no
233,0,technician,married,secondary,no,1,no,no,cellular,1,jun,1,1,1,1,failure,no
234,0,self-employed,married,primary,no,0,no,no,cellular,0,aug,0,1,1,1,failure,no
235,1,blue-collar,married,secondary,no,1,yes,no,cellular,1,apr,0,1,1,1,failure,no
236,0,services,single,secondary,no,0,yes,no,cellular,1,nov,0,1,1,1,failure,no
237,0,management,single,tertiary,no,1,yes,no,cellular,0,aug,0,1,1,1,failure,no
238,0,admin.,single,secondary,no,1,no,no,cellular,1,oct,0,0,1,1,failure,no
239,1,entrepreneur,married,secondary,no,0,no,no,cellular,0,jun,1,1,1,1,failure,no
240,1,blue-collar,married,primary,no,0,no,yes,telephone,1,jul,0,1,1,1,failure,no
241,0,technician,single,tertiary,no,1,no,no,cellular,1,aug,1,1,1,1,failure,no
242,0,admin.,married,secondary,no,1,yes,yes,cellular,0,jun,0,1,1,1,failure,no
243,0,technician,single,secondary,yes,0,no,no,cellular,0,aug,1,1,1,1,failure,yes
244,0,entrepreneur,married,tertiary,no,0,no,no,cellular,0,aug,0,1,1,1,failure,no
245,1,housemaid,married,secondary,no,0,yes,no,cellular,0,may,1,1,1,1,failure,no
246,0,management,single,tertiary,no,1,no,no,cellular,0,may,0,0,1,1,failure,no
247,1,retired,married,secondary,no,1,no,no,cellular,1,jul,1,1,1,1,success,yes
248,1,technician,divorced,secondary,no,1,no,yes,cellular,0,aug,0,0,1,1,failure,no
249,0,management,single,tertiary,no,1,yes,no,cellular,1,jul,0,0,1,1,failure,no
250,1,self-employed,married,secondary,no,1,yes,no,telephone,1,nov,1,1,1,1,failure,no
251,0,blue-collar,single,primary,no,1,yes,no,cellular,1,nov,0,1,1,1,failure,no
252,0,admin.,single,secondary,no,0,no,yes,cellular,0,jul,0,0,1,1,failure,no
253,1,self-employed,married,secondary,no,0,yes,yes,cellular,0,jun,0,1,1,1,failure,no
254,1,technician,married,secondary,no,1,yes,no,cellular,0,may,1,1,1,1,failure,no
255,1,entrepreneur,married,primary,no,0,yes,no,cellular,0,may,0,0,1,1,other,no
256,0,admin.,married,secondary,no,0,no,no,cellular,1,jul,0,1,1,1,failure,no
257,0,management,married,tertiary,no,0,yes,no,cellular,0,may,0,0,1,1,failure,no
258,0,admin.,married,tertiary,no,1,no,no,cellular,0,feb,0,1,1,1,failure,no
259,0,blue-collar,single,secondary,no,0,yes,no,cellular,0,may,0,1,1,1,failure,no
260,1,retired,married,primary,no,0,no,no,cellular,1,jul,0,1,1,1,failure,no
261,1,blue-collar,divorced,primary,no,0,no,no,cellular,0,jul,1,0,1,1,failure,no
262,0,technician,single,tertiary,no,0,yes,yes,cellular,1,aug,1,1,1,1,failure,no
263,0,management,single,tertiary,no,1,yes,no,cellular,1,nov,0,0,1,1,failure,no
264,0,admin.,single,secondary,no,0,yes,no,cellular,1,may,1,0,1,1,failure,no
265,1,retired,divorced,primary,no,1,no,no,cellular,0,mar,0,1,1,1,failure,yes
266,0,entrepreneur,married,tertiary,no,1,yes,no,cellular,1,may,0,1,1,1,failure,no
267,0,admin.,divorced,secondary,no,0,yes,no,cellular,0,may,1,1,1,1,failure,no
268,0,self-employed,married,tertiary,no,1,no,no,cellular,0,feb,1,1,1,1,failure,no
269,0,blue-collar,married,secondary,no,0,yes,yes,cellular,1,may,0,1,1,1,failure,no
270,1,blue-collar,married,secondary,no,1,yes,no,cellular,0,jul,1,0,1,1,failure,yes
271,0,admin.,single,secondary,no,1,no,no,cellular,0,feb,0,1,1,1,failure,no
272,1,retired,married,secondary,no,1,no,no,cellular,0,sep,0,1,1,1,failure,yes
273,1,services,married,secondary,no,0,yes,yes,cellular,0,jul,1,1,1,1,failure,no
274,0,blue-collar,married,secondary,no,0,no,yes,cellular,0,jul,1,1,1,1,failure,no
275,0,management,married,tertiary,no,1,no,no,cellular,1,aug,0,1,1,1,failure,no
276,1,technician,married,secondary,no,0,yes,no,cellular,1,may,1,1,1,1,failure,no
277,0,admin.,married,tertiary,no,0,no,no,cellular,1,may,1,1,1,1,failure,yes
278,1,retired,divorced,primary,no,0,no,no,cellular,0,feb,1,0,1,1,failure,yes
279,0,technician,married,secondary,no,1,yes,no,cellular,1,jul,1,1,1,1,failure,no
280,0,blue-collar,married,secondary,no,1,yes,no,cellular,1,may,1,1,1,1,failure,no
281,1,unemployed,married,secondary,no,1,yes,no,telephone,0,sep,1,1,1,1,failure,no
282,0,blue-collar,single,secondary,no,0,no,no,cellular,0,feb,0,1,1,1,other,no
283,0,services,single,primary,no,1,no,no,cellular,0,jul,1,0,1,1,failure,no
284,0,technician,married,secondary,no,1,yes,no,cellular,1,may,1,0,1,1,failure,no
285,1,management,divorced,secondary,no,1,yes,yes,cellular,1,jun,0,1,1,1,failure,no
286,0,services,married,secondary,no,1,yes,no,cellular,0,apr,0,1,1,1,failure,no
287,0,blue-collar,single,secondary,no,1,no,no,cellular,1,may,1,0,1,1,failure,no
288,1,services,married,secondary,no,1,yes,no,cellular,0,may,1,0,1,1,failure,no
289,1,services,married,secondary,no,0,no,no,cellular,1,aug,0,0,1,1,failure,no
290,1,unemployed,married,secondary,no,0,yes,no,cellular,0,may,1,1,1,1,failure,no
291,0,self-employed,single,tertiary,no,0,yes,yes,cellular,1,may,1,0,1,1,failure,no
292,0,technician,single,tertiary,no,1,no,no,cellular,1,aug,0,1,1,1,failure,no
293,0,technician,married,secondary,no,0,yes,yes,cellular,0,jun,0,0,1,1,other,no
294,1,technician,single,secondary,no,0,yes,yes,cellular,0,jul,1,1,1,1,failure,yes
295,0,blue-collar,married,primary,no,0,yes,no,cellular,0,may,1,1,1,1,failure,no
296,0,services,divorced,secondary,no,1,yes,no,cellular,1,nov,0,0,1,1,failure,no
297,0,entrepreneur,single,secondary,no,0,yes,no,cellular,0,may,1,0,1,1,failure,no
298,1,management,married,tertiary,no,1,yes,no,telephone,1,apr,1,1,1,1,failure,no
299,1,admin.,single,secondary,no,1,no,no,cellular,1,apr,1,1,1,1,failure,yes
300,0,technician,single,secondary,no,0,yes,no,cellular,1,aug,0,1,1,1,failure,no
301,0,admin.,single,secondary,no,0,yes,no,cellular,1,jan,0,0,1,1,failure,no
302,0,self-employed,divorced,secondary,no,0,yes,no,cellular,0,feb,1,1,1,1,failure,no
303,1,blue-collar,married,secondary,no,1,yes,no,cellular,0,may,1,0,1,1,failure,no
304,0,management,married,tertiary,no,1,no,no,cellular,0,aug,1,1,1,1,failure,no
305,1,services,married,secondary,no,0,yes,yes,telephone,1,jul,1,1,1,1,failure,no
306,0,blue-collar,married,primary,no,0,yes,no,cellular,0,may,1,1,1,1,failure,no
307,1,blue-collar,married,secondary,no,0,yes,no,cellular,0,may,1,0,1,1,failure,no
308,1,admin.,married,secondary,no,1,yes,yes,cellular,0,may,1,1,1,1,failure,no
309,0,management,single,tertiary,no,1,yes,no,cellular,0,mar,0,0,1,1,failure,no
310,1,blue-collar,married,primary,no,0,yes,no,cellular,0,may,0,1,1,1,failure,no
